neg r6,r0|4642
neg r6,r1|4e42
neg r6,r2|5642
neg r6,r3|5e42
neg r6,r4|6642
neg r6,r5|6e42
neg r6,r6|7642
neg r6,r7|7e42
neg r7,r0|4742
neg r7,r1|4f42
neg r7,r2|5742
neg r7,r3|5f42
neg r7,r4|6742
neg r7,r5|6f42
neg r7,r6|7742
neg r7,r7|7f42
str r0,[r0]|0060
str r0,[r1]|0860
str r0,[r2]|1060
str r0,[r3]|1860
str r0,[r4]|2060
str r0,[r5]|2860
str r0,[r6]|3060
str r0,[r7]|3860
str r1,[r0]|0160
str r1,[r1]|0960
str r1,[r2]|1160
str r1,[r3]|1960
str r1,[r4]|2160
str r1,[r5]|2960
str r1,[r6]|3160
str r1,[r7]|3960
str r2,[r0]|0260
str r2,[r1]|0a60
str r2,[r2]|1260
str r2,[r3]|1a60
str r2,[r4]|2260
str r2,[r5]|2a60
str r2,[r6]|3260
str r2,[r7]|3a60
str r3,[r0]|0360
str r3,[r1]|0b60
str r3,[r2]|1360
str r3,[r3]|1b60
str r3,[r4]|2360
str r3,[r5]|2b60
str r3,[r6]|3360
str r3,[r7]|3b60
str r4,[r0]|0460
str r4,[r1]|0c60
str r4,[r2]|1460
str r4,[r3]|1c60
str r4,[r4]|2460
str r4,[r5]|2c60
str r4,[r6]|3460
str r4,[r7]|3c60
str r5,[r0]|0560
str r5,[r1]|0d60
str r5,[r2]|1560
str r5,[r3]|1d60
str r5,[r4]|2560
str r5,[r5]|2d60
str r5,[r6]|3560
str r5,[r7]|3d60
str r6,[r0]|0660
str r6,[r1]|0e60
str r6,[r2]|1660
str r6,[r3]|1e60
str r6,[r4]|2660
str r6,[r5]|2e60
str r6,[r6]|3660
str r6,[r7]|3e60
str r7,[r0]|0760
str r7,[r1]|0f60
str r7,[r2]|1760
str r7,[r3]|1f60
str r7,[r4]|2760
str r7,[r5]|2f60
str r7,[r6]|3760
str r7,[r7]|3f60
sub r0,#0|0038
sub r0,r0|001a
sub r0,r1|401a
sub r0,r2|801a
sub r0,r3|c01a
sub r0,r4|001b
sub r0,r5|401b
sub r0,r6|801b
sub r0,r7|c01b
sub r1,#0|0039
sub r1,r0|091a
sub r1,r1|491a
sub r1,r2|891a
sub r1,r3|c91a
sub r1,r4|091b
sub r1,r5|491b
sub r1,r6|891b
sub r1,r7|c91b
sub r2,#0|003a
sub r2,r0|121a
sub r2,r1|521a
sub r2,r2|921a
sub r2,r3|d21a
sub r2,r4|121b
sub r2,r5|521b
sub r2,r6|921b
sub r2,r7|d21b
sub r3,#0|003b
sub r3,r0|1b1a
sub r3,r1|5b1a
sub r3,r2|9b1a
sub r3,r3|db1a
sub r3,r4|1b1b
sub r3,r5|5b1b
sub r3,r6|9b1b
sub r3,r7|db1b
sub r4,#0|003c
sub r4,r0|241a
sub r4,r1|641a
sub r4,r2|a41a
sub r4,r3|e41a
sub r4,r4|241b
sub r4,r5|641b
sub r4,r6|a41b
sub r4,r7|e41b
sub r5,#0|003d
sub r5,r0|2d1a
sub r5,r1|6d1a
sub r5,r2|ad1a
sub r5,r3|ed1a
sub r5,r4|2d1b
sub r5,r5|6d1b
sub r5,r6|ad1b
sub r5,r7|ed1b
sub r6,#0|003e
sub r6,r0|361a
sub r6,r1|761a
sub r6,r2|b61a
sub r6,r3|f61a
sub r6,r4|361b
sub r6,r5|761b
sub r6,r6|b61b
sub r6,r7|f61b
sub r7,#0|003f
sub r7,r0|3f1a
sub r7,r1|7f1a
sub r7,r2|bf1a
sub r7,r3|ff1a
sub r7,r4|3f1b
sub r7,r5|7f1b
sub r7,r6|bf1b
sub r7,r7|ff1b
mul r0,r0|4043
mul r0,r1|4843
mul r0,r2|5043
mul r0,r3|5843
mul r0,r4|6043
mul r0,r5|6843
mul r0,r6|7043
mul r0,r7|7843
mul r1,r0|4143
mul r1,r1|4943
mul r1,r2|5143
mul r1,r3|5943
mul r1,r4|6143
mul r1,r5|6943
mul r1,r6|7143
mul r1,r7|7943
mul r2,r0|4243
mul r2,r1|4a43
mul r2,r2|5243
mul r2,r3|5a43
mul r2,r4|6243
mul r2,r5|6a43
mul r2,r6|7243
mul r2,r7|7a43
mul r3,r0|4343
mul r3,r1|4b43
mul r3,r2|5343
mul r3,r3|5b43
mul r3,r4|6343
mul r3,r5|6b43
mul r3,r6|7343
mul r3,r7|7b43
mul r4,r0|4443
mul r4,r1|4c43
mul r4,r2|5443
mul r4,r3|5c43
mul r4,r4|6443
mul r4,r5|6c43
mul r4,r6|7443
mul r4,r7|7c43
mul r5,r0|4543
mul r5,r1|4d43
mul r5,r2|5543
mul r5,r3|5d43
mul r5,r4|6543
mul r5,r5|6d43
mul r5,r6|7543
mul r5,r7|7d43
mul r6,r0|4643
mul r6,r1|4e43
mul r6,r2|5643
mul r6,r3|5e43
mul r6,r4|6643
mul r6,r5|6e43
mul r6,r6|7643
mul r6,r7|7e43
mul r7,r0|4743
mul r7,r1|4f43
mul r7,r2|5743
mul r7,r3|5f43
mul r7,r4|6743
mul r7,r5|6f43
mul r7,r6|7743
mul r7,r7|7f43
udiv r0,r0|b0fbf0f0
udiv r0,r1|b0fbf1f0
udiv r0,r2|b0fbf2f0
udiv r0,r3|b0fbf3f0
udiv r0,r4|b0fbf4f0
udiv r0,r5|b0fbf5f0
udiv r0,r6|b0fbf6f0
udiv r0,r7|b0fbf7f0
udiv r0,r8|b0fbf8f0
udiv r1,r0|b1fbf0f1
udiv r1,r1|b1fbf1f1
udiv r1,r2|b1fbf2f1
udiv r1,r3|b1fbf3f1
udiv r1,r4|b1fbf4f1
udiv r1,r5|b1fbf5f1
udiv r1,r6|b1fbf6f1
udiv r1,r7|b1fbf7f1
udiv r1,r8|b1fbf8f1
udiv r2,r0|b2fbf0f2
udiv r2,r1|b2fbf1f2
udiv r2,r2|b2fbf2f2
udiv r2,r3|b2fbf3f2
udiv r2,r4|b2fbf4f2
udiv r2,r5|b2fbf5f2
udiv r2,r6|b2fbf6f2
udiv r2,r7|b2fbf7f2
udiv r2,r8|b2fbf8f2
udiv r3,r0|b3fbf0f3
udiv r3,r1|b3fbf1f3
udiv r3,r2|b3fbf2f3
udiv r3,r3|b3fbf3f3
udiv r3,r4|b3fbf4f3
udiv r3,r5|b3fbf5f3
udiv r3,r6|b3fbf6f3
udiv r3,r7|b3fbf7f3
udiv r3,r8|b3fbf8f3
udiv r4,r0|b4fbf0f4
udiv r4,r1|b4fbf1f4
udiv r4,r2|b4fbf2f4
udiv r4,r3|b4fbf3f4
udiv r4,r4|b4fbf4f4
udiv r4,r5|b4fbf5f4
udiv r4,r6|b4fbf6f4
udiv r4,r7|b4fbf7f4
udiv r4,r8|b4fbf8f4
udiv r5,r0|b5fbf0f5
udiv r5,r1|b5fbf1f5
udiv r5,r2|b5fbf2f5
udiv r5,r3|b5fbf3f5
udiv r5,r4|b5fbf4f5
udiv r5,r5|b5fbf5f5
udiv r5,r6|b5fbf6f5
udiv r5,r7|b5fbf7f5
udiv r5,r8|b5fbf8f5
udiv r6,r0|b6fbf0f6
udiv r6,r1|b6fbf1f6
udiv r6,r2|b6fbf2f6
udiv r6,r3|b6fbf3f6
udiv r6,r4|b6fbf4f6
udiv r6,r5|b6fbf5f6
udiv r6,r6|b6fbf6f6
udiv r6,r7|b6fbf7f6
udiv r6,r8|b6fbf8f6
udiv r7,r0|b7fbf0f7
udiv r7,r1|b7fbf1f7
udiv r7,r2|b7fbf2f7
udiv r7,r3|b7fbf3f7
udiv r7,r4|b7fbf4f7
udiv r7,r5|b7fbf5f7
udiv r7,r6|b7fbf6f7
udiv r7,r7|b7fbf7f7
udiv r7,r8|b7fbf8f7
udiv r8,r0|b8fbf0f8
udiv r8,r1|b8fbf1f8
udiv r8,r2|b8fbf2f8
udiv r8,r3|b8fbf3f8
udiv r8,r4|b8fbf4f8
udiv r8,r5|b8fbf5f8
udiv r8,r6|b8fbf6f8
udiv r8,r7|b8fbf7f8
udiv r8,r8|b8fbf8f8
bne r0 | fed1
bne r1 | fed1
bne r2 | fed1
bne r3 | fed1
bne r4 | fed1
bne r5 | fed1
bne r6 | fed1
bne r7 | fed1
bne r8 | fed1
bne [r0] | fed1
bne [r1] | fed1
bne [r2] | fed1
bne [r3] | fed1
bne [r4] | fed1
bne [r5] | fed1
bne [r6] | fed1
bne [r7] | fed1
bne [r8] | fed1
bl r0 | fff7feff
bl r1 | fff7feff
bl r2 | fff7feff
bl r3 | fff7feff
bl r4 | fff7feff
bl r5 | fff7feff
bl r6 | fff7feff
bl r7 | fff7feff
bl r8 | fff7feff
bl [r0] | fff7feff
bl [r1] | fff7feff
bl [r2] | fff7feff
bl [r3] | fff7feff
bl [r4] | fff7feff
bl [r5] | fff7feff
bl [r6] | fff7feff
bl [r7] | fff7feff
bl [r8] | fff7feff
blt r0 | fedb
blt r1 | fedb
blt r2 | fedb
blt r3 | fedb
blt r4 | fedb
blt r5 | fedb
blt r6 | fedb
blt r7 | fedb
blt r8 | fedb
blt [r0] | fedb
blt [r1] | fedb
blt [r2] | fedb
blt [r3] | fedb
blt [r4] | fedb
blt [r5] | fedb
blt [r6] | fedb
blt [r7] | fedb
blt [r8] | fedb
beq r0 | fed0
beq r1 | fed0
beq r2 | fed0
beq r3 | fed0
beq r4 | fed0
beq r5 | fed0
beq r6 | fed0
beq r7 | fed0
beq r8 | fed0
beq [r0] | fed0
beq [r1] | fed0
beq [r2] | fed0
beq [r3] | fed0
beq [r4] | fed0
beq [r5] | fed0
beq [r6] | fed0
beq [r7] | fed0
beq [r8] | fed0
 | 
 #0 | 
 #0,#0|
 #0,r0|
 #0,r1|
 #0,r2|
 #0,r3|
 #0,r4|
 #0,r5|
 #0,r6|
 #0,r7|
 #0,r8|
 #0,[r0]|
 #0,[r1]|
 #0,[r2]|
 #0,[r3]|
 #0,[r4]|
 #0,[r5]|
 #0,[r6]|
 #0,[r7]|
 #0,[r8]|
